"timp","frecventa","tip","year","month","dens"
1994-10-28,0.8990908634286,"Landsat","1994","10",0.005882167817717
1994-11-29,98.2729109757087,"Landsat","1994","11",0.642935856438705
1995-02-01,0,"Landsat","1995","02",0
1995-03-05,0.562173273007569,"Landsat","1995","03",0.00367793475495412
1995-03-21,98.6407384368106,"Landsat","1995","03",0.645342312718235
1995-04-22,0,"Landsat","1995","04",0
1995-05-08,56.6025415641167,"Landsat","1995","05",0.370313682334374
1995-06-09,2.77686550728893,"Landsat","1995","06",0.0181672282363266
1995-07-11,51.2636341507706,"Landsat","1995","07",0.335384677218253
1995-07-27,5.99419667177967,"Landsat","1995","07",0.0392161373115864
1995-08-12,42.4705486888419,"Landsat","1995","08",0.277857227628393
1995-09-13,0.0807520371536646,"Landsat","1995","09",0.000528308153804406
1996-04-24,0,"Landsat","1996","04",0
1996-05-10,2.08564352418891,"Landsat","1996","05",0.0136450115513693
1996-06-11,0.141412658364791,"Landsat","1996","06",0.000925171216710109
1996-06-27,71.9060185381949,"Landsat","1996","06",0.470434396955833
1996-07-13,4.97146632562776,"Landsat","1996","07",0.0325250766268005
1996-07-29,0.170777035511578,"Landsat","1996","07",0.00111728327263898
1996-08-14,46.7604523659574,"Landsat","1996","08",0.305923282325476
1996-09-15,11.4188789762651,"Landsat","1996","09",0.0747063118542365
1996-10-01,0.0892522515908924,"Landsat","1996","10",0.000583919538415397
1996-11-02,5.51122994239173,"Landsat","1996","11",0.0360563995495983
1997-04-11,52.2519772657901,"Landsat","1997","04",0.341850764574385
1997-04-27,23.858942805148,"Landsat","1997","04",0.156093573232421
1997-05-13,0.0900249983579131,"Landsat","1997","05",0.000588975118834578
1997-06-14,0.872044726582875,"Landsat","1997","06",0.00570522250304567
1997-06-30,8.15479663236959,"Landsat","1997","06",0.0533515401636163
1997-07-16,27.8961582894478,"Landsat","1997","07",0.182506453132431
1997-08-01,61.0732679847151,"Landsat","1997","08",0.399562742849545
1997-08-17,0.0540922736914499,"Landsat","1997","08",0.000353890629342665
1997-09-02,4.04223833828535,"Landsat","1997","09",0.0264457411727354
1997-09-18,0.0850021443722785,"Landsat","1997","09",0.000556113846109902
1997-10-04,0.0919568652754649,"Landsat","1997","10",0.00060161406988253
1997-10-20,0.655289258433565,"Landsat","1997","10",0.00428713219546542
1997-11-05,1.19853023564913,"Landsat","1997","11",0.00784120523014961
1998-01-24,0.530104282176209,"Landsat","1998","01",0.00346812816755811
1998-04-14,11.5606780080134,"Landsat","1998","04",0.0756340108611562
1998-06-01,6.12092714157107,"Landsat","1998","06",0.0400452525003321
1998-06-17,41.0672405599323,"Landsat","1998","06",0.268676293587161
1998-07-03,1.52926585193399,"Landsat","1998","07",0.010004993649559
1998-07-19,0,"Landsat","1998","07",0
1998-08-04,0,"Landsat","1998","08",0
1998-08-20,35.9134059972877,"Landsat","1998","08",0.234958099981433
1998-09-05,0.571446234211818,"Landsat","1998","09",0.00373860171998429
1998-10-23,2.41212903325516,"Landsat","1998","10",0.0157809942784732
1998-11-08,0.492239690592194,"Landsat","1998","11",0.00322040472701825
1999-02-28,6.73719268827009,"Landsat","1999","02",0.0440770778846289
1999-05-19,0.0401828318850771,"Landsat","1999","05",0.000262890181797408
1999-06-20,80.6890582921524,"Landsat","1999","06",0.527896124000243
1999-07-06,0,"Landsat","1999","07",0
1999-07-22,0.154549353404143,"Landsat","1999","07",0.00101111608383618
1999-07-30,78.6200288234544,"Landsat","1999","07",0.514359807427886
1999-08-07,0,"Landsat","1999","08",0
1999-08-15,15.9606980994293,"Landsat","1999","08",0.104420485767972
1999-08-23,38.5071305207927,"Landsat","1999","08",0.251927155658414
1999-08-31,24.6436671470576,"Landsat","1999","08",0.161227515148099
1999-09-24,0.0425010721861392,"Landsat","1999","09",0.000278056923054951
1999-10-02,0,"Landsat","1999","10",0
1999-10-18,97.3850249404019,"Landsat","1999","10",0.637126994537066
1999-11-03,2.09878021922826,"Landsat","1999","11",0.0137309564184954
1999-11-19,0.435829176599682,"Landsat","1999","11",0.00285134735641804
2000-01-22,76.0603051576983,"Landsat","2000","01",0.497613197289349
2000-02-07,95.2321524474822,"Landsat","2000","02",0.623042147489228
2000-02-23,12.9017800221778,"Landsat","2000","02",0.0844079706786447
2000-03-26,0.0386373383510357,"Landsat","2000","03",0.000252779020959046
2000-04-19,50.0635584215875,"Landsat","2000","04",0.327533360827265
2000-04-27,50.3792254759154,"Landsat","2000","04",0.3295985654285
2000-05-05,0,"Landsat","2000","05",0
2000-05-13,0.172708902429129,"Landsat","2000","05",0.00112992222368694
2000-05-29,0.188550211153054,"Landsat","2000","05",0.00123356162228015
2000-06-06,11.0893024801307,"Landsat","2000","06",0.0725501068054558
2000-06-14,0,"Landsat","2000","06",0
2000-07-08,23.9640363654629,"Landsat","2000","07",0.156781132169429
2000-07-24,0,"Landsat","2000","07",0
2000-08-09,3.1373518741041,"Landsat","2000","08",0.0205256565018745
2000-08-17,1.03470792104074,"Landsat","2000","08",0.00676942218128326
2000-09-10,0,"Landsat","2000","09",0
2000-09-18,7.87738054300915,"Landsat","2000","09",0.0515365867931303
2000-10-04,0.501512651796443,"Landsat","2000","10",0.00328107169204842
2000-12-23,4.42629348149465,"Landsat","2000","12",0.0289583646410683
2000-12-31,83.6811337740566,"Landsat","2000","12",0.547471331383312
2001-01-08,74.5414713871191,"Landsat","2001","01",0.487676453975449
2001-02-09,13.3974970732216,"Landsat","2001","02",0.0876511255175492
2001-03-13,0.29248465131734,"Landsat","2001","03",0.00191353718865998
2001-04-14,28.4938779137383,"Landsat","2001","04",0.186416944586668
2001-04-30,0.0865476379063199,"Landsat","2001","04",0.000566225006948263
2001-05-08,0,"Landsat","2001","05",0
2001-05-16,0,"Landsat","2001","05",0
2001-06-17,0.0579560075265535,"Landsat","2001","06",0.000379168531438569
2001-07-03,42.6266435357801,"Landsat","2001","07",0.278878454873068
2001-07-19,0,"Landsat","2001","07",0
2001-07-27,16.2462280298435,"Landsat","2001","07",0.10628852273286
2001-08-04,0,"Landsat","2001","08",0
2001-09-05,78.3827955659791,"Landsat","2001","09",0.512807744239198
2001-09-13,98.0878381250072,"Landsat","2001","09",0.641725044928311
2001-09-21,0.0850021443722785,"Landsat","2001","09",0.000556113846109902
2001-09-29,57.9560075265535,"Landsat","2001","09",0.379168531438569
2001-10-07,20.0933478094561,"Landsat","2001","10",0.131457729849752
2001-12-10,76.6989803606409,"Landsat","2001","12",0.501791634505802
2001-12-18,63.6360826375393,"Landsat","2001","12",0.416329575309759
2001-12-26,44.1079990881588,"Landsat","2001","12",0.288570002536637
2002-01-27,19.1448011529382,"Landsat","2002","01",0.125252004885207
2002-02-12,69.2446786725756,"Landsat","2002","02",0.453022977992174
2002-02-20,47.5447903344834,"Landsat","2002","02",0.311054696450945
2002-03-08,44.9642025060178,"Landsat","2002","03",0.29417158564109
2002-04-01,0,"Landsat","2002","04",0
2002-05-03,0.375941302155577,"Landsat","2002","05",0.00245953987393152
2002-05-19,33.4212976736459,"Landsat","2002","05",0.218653853129575
2002-06-20,49.3429720613406,"Landsat","2002","06",0.322819032086379
2002-06-28,55.9650254813246,"Landsat","2002","06",0.36614282848855
2002-07-06,0.167686048443495,"Landsat","2002","07",0.00109706095096226
2002-07-22,84.0470293682409,"Landsat","2002","07",0.549865148711794
2002-08-07,81.5719214734735,"Landsat","2002","08",0.533672124629157
2002-08-23,0.04327381895316,"Landsat","2002","08",0.000283112503474132
2002-09-08,12.0332126560466,"Landsat","2002","09",0.0787254982874853
2002-11-11,13.8000981388394,"Landsat","2002","11",0.0902850829159425
2002-12-13,52.7225800469057,"Landsat","2002","12",0.344929613049666
2003-04-04,44.5758972555899,"Landsat","2003","04",0.291631156480452
2003-04-20,0.0865476379063199,"Landsat","2003","04",0.000566225006948263
2003-07-01,4.12569498912359,"Landsat","2003","07",0.0269917438580069
2003-07-17,13.6613900941592,"Landsat","2003","07",0.0893776062306995
2003-08-02,6.61200771201274,"Landsat","2003","08",0.0432580738567216
2003-08-18,0,"Landsat","2003","08",0
2003-08-26,6.19240621752049,"Landsat","2003","08",0.0405128936891063
2003-09-03,22.6685264105526,"Landsat","2003","09",0.148305451596672
2003-09-19,0.0537059003079396,"Landsat","2003","09",0.000351362839133074
2003-10-29,5.31842962402006,"Landsat","2003","10",0.0347950322350127
2003-11-14,85.058554886271,"Landsat","2003","11",0.556482903480502
2003-12-16,90.6146041411499,"Landsat","2003","12",0.592832526694413
2004-03-13,5.3906814467365,"Landsat","2004","03",0.0352677290042061
2004-04-22,49.711958642593,"Landsat","2004","04",0.325233071736538
2004-04-30,0.210573494013144,"Landsat","2004","04",0.0013776456642268
2004-05-08,5.61130064872091,"Landsat","2004","05",0.0367110972138823
2004-05-16,22.9602383151029,"Landsat","2004","05",0.150213933204913
2004-06-01,34.63798745832,"Landsat","2004","06",0.226613864499575
2004-06-09,89.3345491215801,"Landsat","2004","06",0.584457957730039
2004-06-25,4.92587426637354,"Landsat","2004","06",0.0322267973820688
2004-07-11,27.9572052840424,"Landsat","2004","07",0.182905843985547
2004-07-27,63.1249106511551,"Landsat","2004","07",0.41298530886247
2004-08-12,69.4602750205744,"Landsat","2004","08",0.454433484929125
2004-09-13,6.52236908703833,"Landsat","2004","09",0.0426716265280966
2004-09-21,0.0386373383510357,"Landsat","2004","09",0.000252779020959046
2005-01-11,10.165870093541,"Landsat","2005","01",0.0665086882045346
2005-02-28,6.10122209901204,"Landsat","2005","02",0.039916335199643
2005-03-08,5.08080999316119,"Landsat","2005","03",0.0332404412561146
2005-03-16,0.23800600424238,"Landsat","2005","03",0.00155711876910772
2005-03-24,4.72496010694815,"Landsat","2005","03",0.0309123464730818
2005-04-01,7.04745051522891,"Landsat","2005","04",0.04610689342293
2005-04-09,3.26330959712847,"Landsat","2005","04",0.021349716110201
2005-04-17,1.78813601888593,"Landsat","2005","04",0.0116986130899847
2005-05-03,27.8366567883872,"Landsat","2005","05",0.182117173440154
2005-06-12,58.0070088131769,"Landsat","2005","06",0.379502199746235
2005-06-20,74.8884346855114,"Landsat","2005","06",0.489946409583662
2005-06-28,50.6651417797131,"Landsat","2005","06",0.331469130183597
2005-07-22,0.457466086076262,"Landsat","2005","07",0.00299290360815511
2005-07-30,5.26742833739669,"Landsat","2005","07",0.0344613639273468
2005-08-31,22.4440434747331,"Landsat","2005","08",0.1468368054849
2005-09-16,4.54297824331477,"Landsat","2005","09",0.0297217572843646
2005-12-05,97.1899063817292,"Landsat","2005","12",0.635850460481223
